theme,seed_record_count,background_record_count,lift_vs_nonseed_background,p_value,adjusted_p_value,hypothesis_test,classification,composite_score,periods_present,exact_top_source_share,exact_top_day_share,top_seed_share
WB_1281_MANUFACTURING,7899,153852,10.207816,0.0,0.0,two_proportion_z_test,manufacturing,0.919987,5,0.083302,0.060767,0.40752
ECON_OILPRICE,5046,117152,8.489696,0.0,0.0,two_proportion_z_test,market_context,0.918449,5,0.051526,0.071542,0.422117
WB_442_INFLATION,5425,147080,7.223399,0.0,0.0,two_proportion_z_test,requires_record_review,0.905862,5,0.086267,0.070599,0.447189
ECON_INFLATION,5587,153101,7.143634,0.0,0.0,two_proportion_z_test,market_context,0.905655,5,0.08842,0.069089,0.442456
WB_671_STORAGE_MANAGEMENT,3908,53328,14.915079,0.0,0.0,two_proportion_z_test,requires_record_review,0.9046,5,0.073183,0.094166,0.538639
EPU_CATS_MONETARY_POLICY,5030,125469,7.877249,0.0,0.0,two_proportion_z_test,policy_geopolitics,0.904359,5,0.089861,0.062823,0.483698
WB_2944_SERVERS,3860,50470,15.620033,0.0,0.0,two_proportion_z_test,requires_record_review,0.904109,5,0.074093,0.095078,0.544301
WB_1150_VOLATILITY,3913,78625,9.878551,0.0,0.0,two_proportion_z_test,requires_record_review,0.903748,5,0.120368,0.083056,0.389727
WB_1174_WAREHOUSING_AND_STORAGE,4893,197966,4.779995,0.0,0.0,two_proportion_z_test,requires_record_review,0.903398,5,0.065808,0.085428,0.338034
WB_793_TRANSPORT_AND_LOGISTICS_SERVICES,4894,200547,4.717927,0.0,0.0,two_proportion_z_test,supply_chain,0.902833,5,0.065795,0.085411,0.338169
ECON_INTEREST_RATES,3949,82288,9.507862,0.0,0.0,two_proportion_z_test,market_context,0.898336,5,0.086857,0.069131,0.488731
WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS,8009,308046,5.034742,0.0,0.0,two_proportion_z_test,manufacturing,0.89753,5,0.082532,0.059933,0.403796
WB_713_PUBLIC_FINANCE,4157,93795,8.74705,0.0,0.0,two_proportion_z_test,requires_record_review,0.897002,5,0.112341,0.059177,0.465961
WB_346_COMPETITIVE_INDUSTRIES,8311,335346,4.79328,0.0,0.0,two_proportion_z_test,manufacturing,0.896088,5,0.08194,0.058477,0.398388
WB_672_NETWORK_MANAGEMENT,4654,130672,6.965745,0.0,0.0,two_proportion_z_test,requires_record_review,0.89573,5,0.074989,0.085088,0.519553
ECON_WORLDCURRENCIES_DOLLAR,3580,73598,9.643775,0.0,0.0,two_proportion_z_test,market_context,0.895536,5,0.06676,0.061173,0.503911
WB_667_ICT_INFRASTRUCTURE,6604,208780,6.161,0.0,0.0,two_proportion_z_test,technology_infrastructure,0.8952,5,0.080406,0.068746,0.50848
EPU_POLICY_FEDERAL_RESERVE,3118,25906,25.807364,0.0,0.0,two_proportion_z_test,policy_geopolitics,0.893356,5,0.074727,0.06703,0.618024
EPU_POLICY_INTEREST_RATES,3180,52960,12.048861,0.0,0.0,two_proportion_z_test,policy_geopolitics,0.892424,5,0.08805,0.07044,0.498742
WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT,9446,335156,5.470041,0.0,0.0,two_proportion_z_test,requires_record_review,0.890359,5,0.120686,0.063307,0.451726
EPU_CATS_FINANCIAL_REGULATION,3477,81095,8.449208,0.0,0.0,two_proportion_z_test,market_context,0.885446,5,0.112166,0.100949,0.487202
ECON_IPO,3052,25248,25.934839,0.0,0.0,two_proportion_z_test,market_context,0.884162,5,0.176606,0.071756,0.54751
ENV_OIL,6212,365974,3.256791,0.0,0.0,two_proportion_z_test,requires_record_review,0.881371,5,0.054572,0.065679,0.39971
WB_698_TRADE,15993,590182,5.253501,0.0,0.0,two_proportion_z_test,supply_chain,0.879461,5,0.144001,0.059026,0.50966
WB_1045_TREASURY,2609,58219,8.849015,0.0,0.0,two_proportion_z_test,requires_record_review,0.87311,5,0.095439,0.068225,0.512074
